Run	Time	Implementation
1	17.040466785430908	0
2	20.0275719165802	0
3	18.095693826675415	0
4	18.91435694694519	0
5	16.901384115219116	0
6	19.03958821296692	1
7	20.421616077423096	1
8	21.703266620635986	1
9	19.356486320495605	1
10	19.633874654769897	1
11	27.25270104408264	2
12	30.179402112960815	2
13	30.68909001350403	2
14	28.745692253112793	2
15	28.677726984024048	2
